1.1	如是我聞：一時，
1.2	佛在舍衛國祇樹給孤獨園，與大比丘眾千二百五十人俱。
1.3	爾時，世尊食時，著衣持缽，入舍衛大城乞食。
1.4	於其城中，次第乞已，還至本處。飯食訖，收衣缽，洗足已，敷座而坐。
1.5	（缺譯）
2.1	（缺譯）
2.2	時長老須菩提，在大眾中，即從座起，偏袒右肩，右膝著地，合掌恭敬，而白佛言：
2.3	希有，世尊！如來善護念諸菩薩，善付囑諸菩薩。
2.4	世尊！善男子、善女人發阿耨多羅三藐三菩提心，應云何住？云何降伏其心?
2.5	佛言：善哉、善哉！須菩提，如汝所說，
2.6	如來善護念諸菩薩，善付囑諸菩薩。
2.7	汝今諦聽，當為汝說！善男子、善女人發阿耨多羅三藐三菩提心，應如是住、如是降伏其心。」 
2.8	「唯然，世尊！」願樂欲聞。
3.1	佛告須菩提∶諸菩薩摩訶薩，應如是降伏其心，
3.2	所有一切眾生之類，若卵生、若胎生、若濕生、若化生、若有色、若無色、若有想、若無想、若非有想非無想，我皆令入無餘涅槃而滅度之；
3.3	如是滅度無量無數無邊眾生，實無眾生得滅度者。
3.4	（缺譯）
3.5	何以故？須菩提，若菩薩有我相、人相、眾生相、壽者相，即非菩薩。
4.1	復次，須菩提，菩薩於法，應無所住行於布施。
4.2	所謂不住色布施，不住聲、香、味、觸、法布施。
4.3	須菩提，菩薩應如是布施，不住於相。
4.4	何以故？若菩薩不住相布施，其福德不可思量。
4.5	須菩提！於意云何，東方虛空，可思量不？
4.6	不也，世尊！
4.7	須菩提！南西北方、四維上下虛空，可思量不？
4.8	不也，世尊！
4.9	須菩提！菩薩無住相布施，福德亦復如是不可思量。
4.10	須菩提，菩薩但應如所教住。
5.1	須菩提！於意云何，可以身相見如來不？
5.2	不也，世尊，不可以身相得見如來！
5.3	何以故？如來所說身相，即非身相。
5.4	佛告須菩提：
5.5	凡所有相，皆是虛妄！若見諸相、非相，則見如來！
6.1	須菩提白佛言：
6.2	世尊！頗有眾生，得聞如是言說章句，生實信不 ？
6.3	佛告須菩提：莫作是說。
6.4	如來滅後，後五百歲，有持戒修福者，
6.5	於此章句能生信心，以此為實。
6.6	當知是人，不於一佛、二佛、三四五佛而種善根，
6.7	已於無量千萬佛所種諸善根，
6.8	聞是章句，乃至一念，生淨信者，
6.9	須菩提，如來悉知、悉見，是諸眾生得如是無量福德。
6.10	何以故？是諸眾生無復我相、人相、眾生相、壽者相，
6.11	無法相，亦無非法相。
6.12	何以故？是諸眾生若心取相，則為著我、人、眾生、壽者。若取法相，即著我、人、眾生、壽者；
6.14	是故，不應取法、不應取非法！
6.15	以是義故，如來常說，汝等比丘知我說法如筏喻者。法尚應捨，何況非法！
7.1	（缺譯）
7.2	須菩提，於意云何，如來得阿耨多羅三藐三菩提耶，如來有所說法耶？
7.3	須菩提言：如我解佛所說義，無有定法名阿耨多羅三藐三菩提，亦無有定法如來可說。
7.4	何以故？如來所說法皆不可取、不可說，非法、非非法。
7.5	所以者何？一切賢聖皆以無為法而有差別。
8.1	須菩提，於意云何，若人滿三千大千世界七寶以用布施 ，是人所得福德寧為多不？
8.2	須菩提言：甚多，世尊！
8.3	何以故？是福德即非福德性，是故如來說福德多。
8.4	（缺譯）
8.5	若復有人，於此經中受持乃至四句偈等，為他人說，其福勝彼。
8.6	何以故？須菩提，一切諸佛，及諸佛阿耨多羅三藐三菩提法，皆從此經出。
8.7	須菩提，所謂佛法者，即非佛法！
9.1	須菩提，於意云何，須陀洹能作是念『我得須陀洹果』不？
9.2	須菩提言：不也，世尊！何以故？須陀洹，名為入流，而無所入；不入色、聲、香、味、觸、法，是名須陀洹。
9.3	（缺譯）
9.4	須菩提，於意云何，斯陀含能作是念『我得斯陀含果』不？
9.5	須菩提言：「不也，世尊！何以故？斯陀含，名一往來，而實無往來，是名斯陀含。」
9.6	「須菩提，於意云何，阿那含能作是念『我得阿那含果』不？」
9.7	須菩提言：「不也，世尊！何以故？阿那含，名為不來，而實無來，是故名阿那含。」
